id,year,state_name,state_code,district_name,district_code,registration_circles,protection_of_civil_rights,murder,attempt_to_commit_murder,rape,attempt_to_commit_rape_rape,assault_on_women,insult_to_the_modesty,kidnapping_and_abduction,dacoity,robbery,arson,grievous_hurt,riots,other_ipc_crimes_crimes,sc_st_prevention_of_atrocities
0,2016,Andhra Pradesh,28,Anantapur,502,Anantapur,0,3,8,4,1,12,0,1,0,0,0,0,0,131,22
1,2016,Andhra Pradesh,28,Chittoor,503,Chittoor,0,1,0,1,0,5,1,0,0,0,0,0,4,68,10
2,2016,Andhra Pradesh,28,Y.S.R.,504,Cuddapah,0,0,4,2,0,177,1,2,0,0,0,0,1,23,25
3,2016,Andhra Pradesh,28,East Godavari,505,East Godavari,0,4,0,13,1,21,0,7,0,0,4,4,0,175,27
4,2016,Andhra Pradesh,28,Anantapur,502,Guntakal Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016,Andhra Pradesh,28,Guntur,506,Guntur,0,3,2,2,0,11,6,0,0,0,1,0,0,54,9
6,2016,Andhra Pradesh,28,Guntur,506,Guntur Urban,0,1,1,6,0,4,3,1,0,0,1,0,0,40,7
7,2016,Andhra Pradesh,28,Krishna,510,Krishna,0,1,0,11,13,5,2,0,0,0,0,0,0,71,11
8,2016,Andhra Pradesh,28,Kurnool,511,Kurnool,0,0,12,3,1,19,15,3,0,0,0,2,3,213,42
9,2016,Andhra Pradesh,28,Spsr Nellore,515,Nellore,0,6,4,5,0,14,5,0,0,0,2,2,2,145,24
10,2016,Andhra Pradesh,28,Prakasam,517,Prakasham,0,2,3,4,1,11,0,0,0,0,0,1,3,150,17
11,2016,Andhra Pradesh,28,East Godavari,505,Rajahmundry,0,1,0,3,0,1,1,0,0,0,0,0,1,24,6
12,2016,Andhra Pradesh,28,Srikakulam,519,Srikakulam,0,1,1,1,0,4,0,1,0,0,0,0,0,31,14
13,2016,Andhra Pradesh,28,Tirupati,752,Tirupathi Urban,0,0,0,4,0,0,0,0,0,0,0,0,0,49,8
14,2016,Andhra Pradesh,28,Ntr,749,Vijayawada City,0,1,1,2,0,4,0,0,0,0,0,0,0,14,9
15,2016,Andhra Pradesh,28,Ntr,749,Vijayawada Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2016,Andhra Pradesh,28,Visakhapatanam,520,Visakha Rural,0,0,0,2,0,0,0,0,0,0,0,0,0,0,59
17,2016,Andhra Pradesh,28,Visakhapatanam,520,Visakhapatnam,0,0,2,16,0,5,0,3,0,0,0,0,0,18,67
18,2016,Andhra Pradesh,28,Vizianagaram,521,Vizianagaram,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77
19,2016,Andhra Pradesh,28,West Godavari,523,West Godavari,0,1,4,11,0,10,0,3,1,0,2,1,1,114,12
20,2016,Arunachal Pradesh,12,Anjaw,628,Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2016,Arunachal Pradesh,12,Changlang,229,Changlang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2016,Arunachal Pradesh,12,Papum Pare,237,Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016,Arunachal Pradesh,12,Dibang Valley,230,Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2016,Arunachal Pradesh,12,East Kameng,231,Kameng East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2016,Arunachal Pradesh,12,West Kameng,242,Kameng West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2016,Arunachal Pradesh,12,Kurung Kumey,233,Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2016,Arunachal Pradesh,12,Lohit,234,Lohit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2016,Arunachal Pradesh,12,Longding,666,Longding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2016,Arunachal Pradesh,12,Lower Dibang Valley,235,Lower Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2016,Arunachal Pradesh,12,Papum Pare,237,Papum Pare City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2016,Arunachal Pradesh,12,Papum Pare,237,Papum Pare Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2016,Arunachal Pradesh,12,East Siang,232,Siang East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2016,Arunachal Pradesh,12,Upper Siang,240,Siang Upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2016,Arunachal Pradesh,12,West Siang,243,Siang West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2016,Arunachal Pradesh,12,Lower Subansiri,236,Subansiri Lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2016,Arunachal Pradesh,12,Upper Subansiri,241,Subansiri Upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2016,Arunachal Pradesh,12,Tawang,238,Tawang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2016,Arunachal Pradesh,12,Tirap,239,Tirap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2016,Arunachal Pradesh,12,Namsai,678,Namsai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2016,Arunachal Pradesh,12,Siang,679,Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2016,Assam,18,Kamrup Metro,618,B. I. E. O.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016,Assam,18,Barpeta,280,Barpeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2016,Assam,18,Baksa,616,Baksa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2016,Assam,18,Bongaigaon,281,Bongaigaon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2016,Assam,18,Kamrup Metro,618,C. I. D.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2016,Assam,18,Cachar,282,Cachar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2016,Assam,18,Chirang,612,Chirang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2016,Assam,18,Darrang,283,Darrang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2016,Assam,18,Dhemaji,284,Dhemaji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2016,Assam,18,Dhubri,285,Dhubri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,2016,Assam,18,Dibrugarh,286,Dibrugarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2016,Assam,18,Kamrup Metro,618,G. R. P.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2016,Assam,18,Goalpara,287,Goalpara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2016,Assam,18,Golaghat,288,Golaghat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2016,Assam,18,Kamrup Metro,618,Guwahati City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,2016,Assam,18,Hailakandi,289,Hailakandi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2016,Assam,18,West Karbi Anglong,710,Hamren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2016,Assam,18,Jorhat,290,Jorhat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,2016,Assam,18,Kamrup,291,Kamrup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2016,Assam,18,Karbi Anglong,292,Karbi Anglong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2016,Assam,18,Karimganj,293,Karimganj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2016,Assam,18,Kokrajhar,294,Kokrajhar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2016,Assam,18,Lakhimpur,295,Lakhimpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
